post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,v_fisica,v_financeira,ativos
377,BLCP11,0.5634,0.6300,0.4133,1.2400,0.3983,2.3900,0.4100,4.9200,0.0000,,0.0000,89.0000,3.6400,2022,0.5042,111.7373,-0.0172,256580339.9000,15.8140,0.4870,1.4285,0.4762,,,,,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,91,103127.5,256580339.9,0.8144,0.8144102282765021,BLCP11,,,2
148,BLMC11,0.8431,1.0400,1.1567,3.4700,1.1183,6.7100,1.0950,13.1400,3.0010,8.1605,4.0722,81.0000,5.6800,2023,0.6942,96.5200,-1.6893,38558864.0900,2.8148,-1.0069,2.2115,0.7372,,,,,Papéis,papeis,81.7,3494.69,39172986.04,0.8332,0.8464566929133859,BLMC11,,,0
415,BLMG11,0.7200,1.0600,1.1400,3.4200,1.1200,6.7200,1.0500,12.6000,3.0271,-7.5194,4.1192,67.7300,5.6900,2023,0.8759,91.3300,-2.5738,348035357.3300,-1.5214,-1.7204,2.5946,0.8649,5.2012,0.8669,,,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,67.9,441010.11,340250518.9,0.7604,0.7434577904303078,BLMG11,,,1
424,BLMO11,90.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2023,0.0880,29561.5172,0.2223,112245080.7400,13.5877,0.3105,0.2872,0.0957,0.5766,0.0961,,,Lajes Corporativas,lajes-corporativas,20999,620199.5,126883786.52,0.6284,0.7103491968267448,BLMO11,,,1
171,BLMR11,0.0550,0.8000,0.9433,2.8300,0.9733,5.8400,0.9908,11.8900,3.9454,3.7847,4.7769,6.8500,4.9000,2023,0.9499,7.8209,-5.6641,199758967.3800,3.0481,-4.7680,2.7332,0.9111,5.5315,0.9219,,,Fundo de Fundos,fundo-de-fundos,6.81,439832,198592158.29,0.8753,0.870743776291731,BLMR11,,,0
83,BLUR11,1.0300,0.0000,0.0000,0.0000,0.3567,2.1400,0.4283,5.1400,0.0000,,0.0000,,1.1100,2023,,,,,,,,,,,,,Papéis,papeis,100.5,8342.29,8612265.9,1.0503,,BLUR11,,,0
282,BMLC11,0.8000,0.7700,0.7333,2.2000,0.7533,4.5200,0.7592,9.1100,0.9709,7.7019,1.7483,104.0000,3.5200,2023,0.8063,109.1400,-0.0458,108966338.8400,4.1035,0.7601,2.1893,0.7298,,,,,Lajes Corporativas,lajes-corporativas,99,22686.26,113123913.93,0.8738,0.9070918086860913,BMLC11,,,2
133,BNFS11,1.5305,1.2800,1.2900,3.8700,1.2133,7.2800,1.2175,14.6100,1.9116,3.6085,3.2161,119.9500,6.0600,2023,1.5459,99.2200,-0.0314,69454752.8200,13.7229,1.5140,4.5862,1.5287,8.9941,1.4990,,,Agências de Bancos,agencias-de-bancos,116.51,153946.08,64184869.89,1.2707,1.1742592219310624,BNFS11,,,18
1767,BODB11,0.0145,0.1500,1.0333,3.1000,0.9417,5.6500,1.0900,13.0800,0.1020,11.5818,0.2522,9.8100,5.5900,2023,,,,,,,,,,,,,Indefinido,indefinido,9.86,484357.66,0,0,,BODB11,,,
248,BPFF11,0.6200,0.9400,0.9933,2.9800,0.9867,5.9200,1.0117,12.1400,6.4791,8.4044,7.4800,66.2300,4.9500,2023,0.8347,74.2826,-5.1024,333701530.4500,3.1811,-4.3103,2.5142,0.8381,5.4288,0.9048,,,Fundo de Fundos,fundo-de-fundos,67.92,408501.53,337231586.24,0.9048,0.914346024506412,BPFF11,,,0
